frame_id,timestamp_s,ball_x_world_m,ball_y_world_m,ball_z_world_m,ball_x_cam_m,ball_y_cam_m,ball_z_cam_m,u_px,v_px,radius_px,visible
0,0.000000000,-0.400000000,2.000000000,0.600000000,-0.400000000,0.200000000,2.000000000,216.000000,292.000000,5.200000,1
1,0.002000000,-0.396800000,1.994400000,0.603980380,-0.396800000,0.196019620,1.994400000,216.542318,291.108204,5.214601,1
2,0.004000000,-0.393600000,1.988800000,0.607921520,-0.393600000,0.192078480,1.988800000,217.087691,290.221646,5.229284,1
3,0.006000000,-0.390400000,1.983200000,0.611823420,-0.390400000,0.188176580,1.983200000,217.636144,289.340370,5.244050,1
4,0.008000000,-0.387200000,1.977600000,0.615686080,-0.387200000,0.184313920,1.977600000,218.187702,288.464421,5.258900,1
5,0.010000000,-0.384000000,1.972000000,0.619509500,-0.384000000,0.180490500,1.972000000,218.742394,287.593844,5.273834,1
6,0.012000000,-0.380800000,1.966400000,0.623293680,-0.380800000,0.176706320,1.966400000,219.300244,286.728685,5.288853,1
7,0.014000000,-0.377600000,1.960800000,0.627038620,-0.377600000,0.172961380,1.960800000,219.861281,285.868991,5.303958,1
8,0.016000000,-0.374400000,1.955200000,0.630744320,-0.374400000,0.169255680,1.955200000,220.425532,285.014809,5.319149,1
9,0.018000000,-0.371200000,1.949600000,0.634410780,-0.371200000,0.165589220,1.949600000,220.993024,284.166185,5.334428,1
10,0.020000000,-0.368000000,1.944000000,0.638038000,-0.368000000,0.161962000,1.944000000,221.563786,283.323169,5.349794,1
11,0.022000000,-0.364800000,1.938400000,0.641625980,-0.364800000,0.158374020,1.938400000,222.137846,282.485808,5.365250,1
12,0.024000000,-0.361600000,1.932800000,0.645174720,-0.361600000,0.154825280,1.932800000,222.715232,281.654152,5.380795,1
13,0.026000000,-0.358400000,1.927200000,0.648684220,-0.358400000,0.151315780,1.927200000,223.295973,280.828251,5.396430,1
14,0.028000000,-0.355200000,1.921600000,0.652154480,-0.355200000,0.147845520,1.921600000,223.880100,280.008155,5.412157,1
15,0.030000000,-0.352000000,1.916000000,0.655585500,-0.352000000,0.144414500,1.916000000,224.467641,279.193914,5.427975,1
16,0.032000000,-0.348800000,1.910400000,0.658977280,-0.348800000,0.141022720,1.910400000,225.058626,278.385581,5.443886,1
17,0.034000000,-0.345600000,1.904800000,0.662329820,-0.345600000,0.137670180,1.904800000,225.653087,277.583207,5.459891,1
18,0.036000000,-0.342400000,1.899200000,0.665643120,-0.342400000,0.134356880,1.899200000,226.251053,276.786846,5.475990,1
19,0.038000000,-0.339200000,1.893600000,0.668917180,-0.339200000,0.131082820,1.893600000,226.852556,275.996550,5.492184,1
20,0.040000000,-0.336000000,1.888000000,0.672152000,-0.336000000,0.127848000,1.888000000,227.457627,275.212373,5.508475,1
21,0.042000000,-0.332800000,1.882400000,0.675347580,-0.332800000,0.124652420,1.882400000,228.066298,274.434370,5.524862,1
22,0.044000000,-0.329600000,1.876800000,0.678503920,-0.329600000,0.121496080,1.876800000,228.678602,273.662597,5.541347,1
23,0.046000000,-0.326400000,1.871200000,0.681621020,-0.326400000,0.118378980,1.871200000,229.294570,272.897109,5.557931,1
24,0.048000000,-0.323200000,1.865600000,0.684698880,-0.323200000,0.115301120,1.865600000,229.914237,272.137962,5.574614,1
25,0.050000000,-0.320000000,1.860000000,0.687737500,-0.320000000,0.112262500,1.860000000,230.537634,271.385215,5.591398,1
26,0.052000000,-0.316800000,1.854400000,0.690736880,-0.316800000,0.109263120,1.854400000,231.164797,270.638925,5.608283,1
27,0.054000000,-0.313600000,1.848800000,0.693697020,-0.313600000,0.106302980,1.848800000,231.795759,269.899151,5.625270,1
28,0.056000000,-0.310400000,1.843200000,0.696617920,-0.310400000,0.103382080,1.843200000,232.430556,269.165951,5.642361,1
29,0.058000000,-0.307200000,1.837600000,0.699499580,-0.307200000,0.100500420,1.837600000,233.069221,268.439387,5.659556,1
30,0.060000000,-0.304000000,1.832000000,0.702342000,-0.304000000,0.097658000,1.832000000,233.711790,267.719520,5.676856,1
31,0.062000000,-0.300800000,1.826400000,0.705145180,-0.300800000,0.094854820,1.826400000,234.358300,267.006410,5.694262,1
32,0.064000000,-0.297600000,1.820800000,0.707909120,-0.297600000,0.092090880,1.820800000,235.008787,266.300120,5.711775,1
33,0.066000000,-0.294400000,1.815200000,0.710633820,-0.294400000,0.089366180,1.815200000,235.663288,265.600713,5.729396,1
34,0.068000000,-0.291200000,1.809600000,0.713319280,-0.291200000,0.086680720,1.809600000,236.321839,264.908253,5.747126,1
35,0.070000000,-0.288000000,1.804000000,0.715965500,-0.288000000,0.084034500,1.804000000,236.984479,264.222805,5.764967,1
36,0.072000000,-0.284800000,1.798400000,0.718572480,-0.284800000,0.081427520,1.798400000,237.651246,263.544434,5.782918,1
37,0.074000000,-0.281600000,1.792800000,0.721140220,-0.281600000,0.078859780,1.792800000,238.322178,262.873207,5.800982,1
38,0.076000000,-0.278400000,1.787200000,0.723668720,-0.278400000,0.076331280,1.787200000,238.997314,262.209191,5.819158,1
39,0.078000000,-0.275200000,1.781600000,0.726157980,-0.275200000,0.073842020,1.781600000,239.676695,261.552453,5.837449,1
40,0.080000000,-0.272000000,1.776000000,0.728608000,-0.272000000,0.071392000,1.776000000,240.360360,260.903063,5.855856,1
