frame_id,timestamp_s,ball_x_world_m,ball_y_world_m,ball_z_world_m,ball_x_cam_m,ball_y_cam_m,ball_z_cam_m,u_px,v_px,radius_px,visible
0,0.000000000,-0.400000000,1.000000000,0.600000000,-0.400000000,0.200000000,1.000000000,112.000000,344.000000,10.400000,1
1,0.002000000,-0.396800000,1.000000000,0.603980380,-0.396800000,0.196019620,1.000000000,113.664000,341.930202,10.400000,1
2,0.004000000,-0.393600000,1.000000000,0.607921520,-0.393600000,0.192078480,1.000000000,115.328000,339.880810,10.400000,1
3,0.006000000,-0.390400000,1.000000000,0.611823420,-0.390400000,0.188176580,1.000000000,116.992000,337.851822,10.400000,1
4,0.008000000,-0.387200000,1.000000000,0.615686080,-0.387200000,0.184313920,1.000000000,118.656000,335.843238,10.400000,1
5,0.010000000,-0.384000000,1.000000000,0.619509500,-0.384000000,0.180490500,1.000000000,120.320000,333.855060,10.400000,1
6,0.012000000,-0.380800000,1.000000000,0.623293680,-0.380800000,0.176706320,1.000000000,121.984000,331.887286,10.400000,1
7,0.014000000,-0.377600000,1.000000000,0.627038620,-0.377600000,0.172961380,1.000000000,123.648000,329.939918,10.400000,1
8,0.016000000,-0.374400000,1.000000000,0.630744320,-0.374400000,0.169255680,1.000000000,125.312000,328.012954,10.400000,1
9,0.018000000,-0.371200000,1.000000000,0.634410780,-0.371200000,0.165589220,1.000000000,126.976000,326.106394,10.400000,1
10,0.020000000,-0.368000000,1.000000000,0.638038000,-0.368000000,0.161962000,1.000000000,128.640000,324.220240,10.400000,1
11,0.022000000,-0.364800000,1.000000000,0.641625980,-0.364800000,0.158374020,1.000000000,130.304000,322.354490,10.400000,1
12,0.024000000,-0.361600000,1.000000000,0.645174720,-0.361600000,0.154825280,1.000000000,131.968000,320.509146,10.400000,1
13,0.026000000,-0.358400000,1.000000000,0.648684220,-0.358400000,0.151315780,1.000000000,133.632000,318.684206,10.400000,1
14,0.028000000,-0.355200000,1.000000000,0.652154480,-0.355200000,0.147845520,1.000000000,135.296000,316.879670,10.400000,1
15,0.030000000,-0.352000000,1.000000000,0.655585500,-0.352000000,0.144414500,1.000000000,136.960000,315.095540,10.400000,1
16,0.032000000,-0.348800000,1.000000000,0.658977280,-0.348800000,0.141022720,1.000000000,138.624000,313.331814,10.400000,1
17,0.034000000,-0.345600000,1.000000000,0.662329820,-0.345600000,0.137670180,1.000000000,140.288000,311.588494,10.400000,1
18,0.036000000,-0.342400000,1.000000000,0.665643120,-0.342400000,0.134356880,1.000000000,141.952000,309.865578,10.400000,1
19,0.038000000,-0.339200000,1.000000000,0.668917180,-0.339200000,0.131082820,1.000000000,143.616000,308.163066,10.400000,1
20,0.040000000,-0.336000000,1.000000000,0.672152000,-0.336000000,0.127848000,1.000000000,145.280000,306.480960,10.400000,1
21,0.042000000,-0.332800000,1.000000000,0.675347580,-0.332800000,0.124652420,1.000000000,146.944000,304.819258,10.400000,1
22,0.044000000,-0.329600000,1.000000000,0.678503920,-0.329600000,0.121496080,1.000000000,148.608000,303.177962,10.400000,1
23,0.046000000,-0.326400000,1.000000000,0.681621020,-0.326400000,0.118378980,1.000000000,150.272000,301.557070,10.400000,1
24,0.048000000,-0.323200000,1.000000000,0.684698880,-0.323200000,0.115301120,1.000000000,151.936000,299.956582,10.400000,1
25,0.050000000,-0.320000000,1.000000000,0.687737500,-0.320000000,0.112262500,1.000000000,153.600000,298.376500,10.400000,1
26,0.052000000,-0.316800000,1.000000000,0.690736880,-0.316800000,0.109263120,1.000000000,155.264000,296.816822,10.400000,1
27,0.054000000,-0.313600000,1.000000000,0.693697020,-0.313600000,0.106302980,1.000000000,156.928000,295.277550,10.400000,1
28,0.056000000,-0.310400000,1.000000000,0.696617920,-0.310400000,0.103382080,1.000000000,158.592000,293.758682,10.400000,1
29,0.058000000,-0.307200000,1.000000000,0.699499580,-0.307200000,0.100500420,1.000000000,160.256000,292.260218,10.400000,1
30,0.060000000,-0.304000000,1.000000000,0.702342000,-0.304000000,0.097658000,1.000000000,161.920000,290.782160,10.400000,1
31,0.062000000,-0.300800000,1.000000000,0.705145180,-0.300800000,0.094854820,1.000000000,163.584000,289.324506,10.400000,1
32,0.064000000,-0.297600000,1.000000000,0.707909120,-0.297600000,0.092090880,1.000000000,165.248000,287.887258,10.400000,1
33,0.066000000,-0.294400000,1.000000000,0.710633820,-0.294400000,0.089366180,1.000000000,166.912000,286.470414,10.400000,1
34,0.068000000,-0.291200000,1.000000000,0.713319280,-0.291200000,0.086680720,1.000000000,168.576000,285.073974,10.400000,1
35,0.070000000,-0.288000000,1.000000000,0.715965500,-0.288000000,0.084034500,1.000000000,170.240000,283.697940,10.400000,1
36,0.072000000,-0.284800000,1.000000000,0.718572480,-0.284800000,0.081427520,1.000000000,171.904000,282.342310,10.400000,1
37,0.074000000,-0.281600000,1.000000000,0.721140220,-0.281600000,0.078859780,1.000000000,173.568000,281.007086,10.400000,1
38,0.076000000,-0.278400000,1.000000000,0.723668720,-0.278400000,0.076331280,1.000000000,175.232000,279.692266,10.400000,1
39,0.078000000,-0.275200000,1.000000000,0.726157980,-0.275200000,0.073842020,1.000000000,176.896000,278.397850,10.400000,1
40,0.080000000,-0.272000000,1.000000000,0.728608000,-0.272000000,0.071392000,1.000000000,178.560000,277.123840,10.400000,1
41,0.082000000,-0.268800000,1.000000000,0.731018780,-0.268800000,0.068981220,1.000000000,180.224000,275.870234,10.400000,1
42,0.084000000,-0.265600000,1.000000000,0.733390320,-0.265600000,0.066609680,1.000000000,181.888000,274.637034,10.400000,1
43,0.086000000,-0.262400000,1.000000000,0.735722620,-0.262400000,0.064277380,1.000000000,183.552000,273.424238,10.400000,1
44,0.088000000,-0.259200000,1.000000000,0.738015680,-0.259200000,0.061984320,1.000000000,185.216000,272.231846,10.400000,1
45,0.090000000,-0.256000000,1.000000000,0.740269500,-0.256000000,0.059730500,1.000000000,186.880000,271.059860,10.400000,1
46,0.092000000,-0.252800000,1.000000000,0.742484080,-0.252800000,0.057515920,1.000000000,188.544000,269.908278,10.400000,1
47,0.094000000,-0.249600000,1.000000000,0.744659420,-0.249600000,0.055340580,1.000000000,190.208000,268.777102,10.400000,1
48,0.096000000,-0.246400000,1.000000000,0.746795520,-0.246400000,0.053204480,1.000000000,191.872000,267.666330,10.400000,1
49,0.098000000,-0.243200000,1.000000000,0.748892380,-0.243200000,0.051107620,1.000000000,193.536000,266.575962,10.400000,1
50,0.100000000,-0.240000000,1.000000000,0.750950000,-0.240000000,0.049050000,1.000000000,195.200000,265.506000,10.400000,1
51,0.102000000,-0.236800000,1.000000000,0.752968380,-0.236800000,0.047031620,1.000000000,196.864000,264.456442,10.400000,1
52,0.104000000,-0.233600000,1.000000000,0.754947520,-0.233600000,0.045052480,1.000000000,198.528000,263.427290,10.400000,1
53,0.106000000,-0.230400000,1.000000000,0.756887420,-0.230400000,0.043112580,1.000000000,200.192000,262.418542,10.400000,1
54,0.108000000,-0.227200000,1.000000000,0.758788080,-0.227200000,0.041211920,1.000000000,201.856000,261.430198,10.400000,1
55,0.110000000,-0.224000000,1.000000000,0.760649500,-0.224000000,0.039350500,1.000000000,203.520000,260.462260,10.400000,1
56,0.112000000,-0.220800000,1.000000000,0.762471680,-0.220800000,0.037528320,1.000000000,205.184000,259.514726,10.400000,1
57,0.114000000,-0.217600000,1.000000000,0.764254620,-0.217600000,0.035745380,1.000000000,206.848000,258.587598,10.400000,1
58,0.116000000,-0.214400000,1.000000000,0.765998320,-0.214400000,0.034001680,1.000000000,208.512000,257.680874,10.400000,1
59,0.118000000,-0.211200000,1.000000000,0.767702780,-0.211200000,0.032297220,1.000000000,210.176000,256.794554,10.400000,1
60,0.120000000,-0.208000000,1.000000000,0.769368000,-0.208000000,0.030632000,1.000000000,211.840000,255.928640,10.400000,1
61,0.122000000,-0.204800000,1.000000000,0.770993980,-0.204800000,0.029006020,1.000000000,213.504000,255.083130,10.400000,1
62,0.124000000,-0.201600000,1.000000000,0.772580720,-0.201600000,0.027419280,1.000000000,215.168000,254.258026,10.400000,1
63,0.126000000,-0.198400000,1.000000000,0.774128220,-0.198400000,0.025871780,1.000000000,216.832000,253.453326,10.400000,1
64,0.128000000,-0.195200000,1.000000000,0.775636480,-0.195200000,0.024363520,1.000000000,218.496000,252.669030,10.400000,1
65,0.130000000,-0.192000000,1.000000000,0.777105500,-0.192000000,0.022894500,1.000000000,220.160000,251.905140,10.400000,1
66,0.132000000,-0.188800000,1.000000000,0.778535280,-0.188800000,0.021464720,1.000000000,221.824000,251.161654,10.400000,1
67,0.134000000,-0.185600000,1.000000000,0.779925820,-0.185600000,0.020074180,1.000000000,223.488000,250.438574,10.400000,1
68,0.136000000,-0.182400000,1.000000000,0.781277120,-0.182400000,0.018722880,1.000000000,225.152000,249.735898,10.400000,1
69,0.138000000,-0.179200000,1.000000000,0.782589180,-0.179200000,0.017410820,1.000000000,226.816000,249.053626,10.400000,1
70,0.140000000,-0.176000000,1.000000000,0.783862000,-0.176000000,0.016138000,1.000000000,228.480000,248.391760,10.400000,1
71,0.142000000,-0.172800000,1.000000000,0.785095580,-0.172800000,0.014904420,1.000000000,230.144000,247.750298,10.400000,1
72,0.144000000,-0.169600000,1.000000000,0.786289920,-0.169600000,0.013710080,1.000000000,231.808000,247.129242,10.400000,1
73,0.146000000,-0.166400000,1.000000000,0.787445020,-0.166400000,0.012554980,1.000000000,233.472000,246.528590,10.400000,1
74,0.148000000,-0.163200000,1.000000000,0.788560880,-0.163200000,0.011439120,1.000000000,235.136000,245.948342,10.400000,1
